행정구역별,연령별,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
대구광역시,45 - 49세,83573,84472,104530,106253,107258,111812,109810,113423,110673,115207,110254,114195,107037,111499,104788,108612,100187,104479
대구광역시,50 - 54세,65427,65822,76926,80161,98394,101813,107366,110159,104161,106422,102629,106069,103557,107611,104751,109529,104875,109746
대구광역시,55 - 59세,49891,52996,59951,62351,71571,76760,96598,99658,101399,105534,103733,107880,105143,110070,103324,108113,100742,105972
대구광역시,60 - 64세,41150,47043,44998,50535,54023,59131,68842,74991,74135,80439,77547,83137,81276,85681,85958,91190,89740,95354
대구광역시,65 - 69세,27561,36191,36042,44515,40516,48992,49639,55754,52486,59573,55699,63028,57029,65124,58624,66362,63026,72116
대구광역시,70 - 74세,14589,25200,23542,33736,31426,42749,37358,47807,36415,45741,36689,45881,38458,47557,41253,50280,44271,53248
대구광역시,75 - 79세,8102,16800,11145,21396,18491,30402,25269,38215,26871,40032,29691,42928,31409,44539,31797,45060,31628,44168
대구광역시,80 - 84세,3369,8813,5111,12319,7598,17372,12722,24255,14159,26269,15264,27733,16550,29461,18005,31320,18941,32698
대구광역시,85세이상,1422,5071,2005,6711,3443,10527,5137,15706,5689,17034,6509,18683,7218,20308,8362,22402,9545,24638
인천광역시,0 - 4세,94263,86520,66723,62794,64454,60993,69261,65483,67568,64324,63515,60753,60489,57547,57101,54219,51612,48819
인천광역시,5 - 9세,111566,100897,92087,85398,68755,64600,68636,65094,70326,66521,69818,66275,69029,65305,68645,65041,67711,64229
인천광역시,10 - 14세,93565,86802,105924,97271,92571,85811,71330,67042,68048,63978,67772,63814,67299,63734,66916,63302,67621,64069
인천광역시,15 - 19세,99349,92831,90318,84124,104048,94156,92515,86165,88867,83252,84290,78665,79492,74885,76109,71895,70521,66736
인천광역시,20 - 24세,97709,89177,101770,93518,91191,82465,106897,94578,106207,94112,104667,92417,100888,90139,98715,88476,95592,88304
인천광역시,25 - 29세,105843,108703,98072,95754,101564,98484,99680,91734,102669,93592,107177,97139,111540,100236,115323,102201,115347,103227
인천광역시,30 - 34세,117999,121401,111890,111197,106099,101598,118283,108374,112731,103055,107338,97504,103992,93760,103261,92513,102684,92091
인천광역시,35 - 39세,134548,130834,116658,119495,117276,115264,121355,112379,125265,116046,127772,117836,128284,118301,124551,115004,117514,108229
인천광역시,40 - 44세,124237,113038,127180,124483,118836,121453,129684,123193,125017,118127,121708,114886,118706,111229,117893,110290,119057,111933
인천광역시,45 - 49세,79369,72154,114977,108571,124696,124013,128105,129478,130951,132037,132593,132226,131828,130171,131290,127387,127783,123603
인천광역시,50 - 54세,58083,52815,73657,69515,110606,107247,130922,128433,127011,125554,124334,124642,124114,126815,126446,129975,126290,129382
인천광역시,55 - 59세,42330,42737,54099,51953,70683,69320,115321,112821,123563,120951,127747,125488,130359,128565,130128,128868,127389,127655
인천광역시,60 - 64세,33696,38962,39454,42070,51458,52195,72459,73189,81238,82186,87511,88477,96094,96879,103782,104576,110882,111579
인천광역시,65 - 69세,23605,32259,30272,38100,37313,42630,51662,54169,52804,55190,56188,58154,57999,60398,61745,64541,68629,72427
인천광역시,70 - 74세,13704,23555,20515,30740,27641,37978,36863,44306,37771,44682,39244,45840,41983,47724,45011,50635,47817,53188
인천광역시,75 - 79세,8730,16173,10744,20722,16478,28516,23966,36025,25641,37463,28614,40554,30051,41708,31179,42087,32119,42572
